Symbol,Company Name,Sector,Industry,Cap Category
RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,Large
TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,Large
INFY,Infosys Limited,Technology,Information Technology Services,Large
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,Large
ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,Large
BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,Large
SBIN,State Bank of India,Financial Services,Banks - Regional,Large
ITC,ITC Limited,Consumer Defensive,Tobacco,Large
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,Large
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,Large
AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,Large
WIPRO,Wipro Limited,Technology,Information Technology Services,Large
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,Large
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,Large
MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,Large
SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Large
TATAMOTORS,Tata Motors Ltd,Automobile,Passenger Cars & Utility Vehicles,Large
ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,Large
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,Large
POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,Large
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,Large
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,Large
COALINDIA,Coal India Limited,Energy,Thermal Coal,Large
ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,Large
NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,Large
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,Large
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,Large
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,Large
